object,label,sacral_cpt_code,sacral_cpt_description,l5_s1_cpt_code,l5_s1_cpt_description,lumbar_cpt_code,lumbar_cpt_description,thoracic_cpt_code,thoracic_cpt_description,cervical_cpt_code,cervical_cpt_description,odontoid,odontoid_cpt_description,c1_c2_cpt_code,c1_c2_cpt_description,unspecified_level_cpt_code,unspecified_level_cpt_description,modify_by_diagnosis_cpt_code,modify_by_diagnosis_cpt_description,add_on_level_cpt_code,add_on_level_cpt_description,,
structural_allograft,Application of structural allograft,,,,,,,,,,,,,,,,,,,,,,
anterior_disc_arthroplasty,Total disk arthroplasty,,,,,,,,,,,,,,,,,,,,,,
revision_anterior_disc_arthroplasty,Revision total disk arthroplasty,,,,,,,,,,,,,,,,,,,,,,
removal_anterior_disc_arthroplasty,Removal total disk arthroplasty,,,,,,,,,,,,,,,,,,,,,,
decompression_diskectomy_fusion,Anterior diskectomy and fusion with decompression of the central canal and nerve roots,,,,,,,,,,,,,,,,,,,,,,
diskectomy_fusion,Anterior diskectomy and fusion,,,,,,,,,,,,,,,,,,,,,,
diskectomy_fusion_no_interbody_device,Anterior diskectomy and fusion,,,,,,,,,,,,,,,,,,,,,,
anterior_interbody_implant,Insertion of interbody biomechanical implant,,,,,,,,,,,,,,,,,,,,,,
corpectomy,Anterior vertebral corpectomy,,,,,,,,,,,,,,,,,,,,,,
corpectomy_cage,Anterior insertion of intervertebral biomechanical implant,,,,,,,,,,,,,,,,,,,,,,
anterior_plate,Anterior spinal instrumentation (distinct from an interbody implant),,,,,,,,,,,,,,,,,,,,,,
anterior_buttress_plate,Anterior spinal instrumentation (distinct from an interbody implant),,,,,,,,,,,,,,,,,,,,,,
screw_washer,Anterior spinal instrumentation (distinct from an interbody implant,,,,,,,,,,,,,,,,,,,,,,
