level,vertebral_body_number,coordinate_type,side,x,y
l4,23,inferior_lamina,center,0.5,0.248
l5,24,inferior_lamina,center,0.5,0.213
s1,25,inferior_lamina,center,0.5,0.17
c1,1,inferior_pedicle,left,0.475,0.888
c2,2,inferior_pedicle,left,0.475,0.865
c3,3,inferior_pedicle,left,0.475,0.847
c4,4,inferior_pedicle,left,0.475,0.828
c5,5,inferior_pedicle,left,0.475,0.811
c6,6,inferior_pedicle,left,0.475,0.793
c7,7,inferior_pedicle,left,0.48,0.769
t1,8,inferior_pedicle,left,0.48,0.747
t2,9,inferior_pedicle,left,0.48,0.723
t3,10,inferior_pedicle,left,0.48,0.701
t4,11,inferior_pedicle,left,0.48,0.672
t5,12,inferior_pedicle,left,0.48,0.643
t6,13,inferior_pedicle,left,0.48,0.613
t7,14,inferior_pedicle,left,0.48,0.583
t8,15,inferior_pedicle,left,0.48,0.551
t9,16,inferior_pedicle,left,0.48,0.52
t10,17,inferior_pedicle,left,0.482,0.481
t11,18,inferior_pedicle,left,0.484,0.447
t12,19,inferior_pedicle,left,0.484,0.411
l1,20,inferior_pedicle,left,0.484,0.375
l2,21,inferior_pedicle,left,0.482,0.343
l3,22,inferior_pedicle,left,0.48,0.301
l4,23,inferior_pedicle,left,0.478,0.261
l5,24,inferior_pedicle,left,0.475,0.228
s1,25,inferior_pedicle,left,0.46,0.19
c1,1,inferior_pedicle,right,0.525,0.888
c2,2,inferior_pedicle,right,0.525,0.865
c3,3,inferior_pedicle,right,0.525,0.847
c4,4,inferior_pedicle,right,0.525,0.828
c5,5,inferior_pedicle,right,0.525,0.811
c6,6,inferior_pedicle,right,0.525,0.793
c7,7,inferior_pedicle,right,0.52,0.769
t1,8,inferior_pedicle,right,0.52,0.747
t2,9,inferior_pedicle,right,0.52,0.723
t3,10,inferior_pedicle,right,0.52,0.701
t4,11,inferior_pedicle,right,0.52,0.672
t5,12,inferior_pedicle,right,0.52,0.643
t6,13,inferior_pedicle,right,0.52,0.613
t7,14,inferior_pedicle,right,0.52,0.583
t8,15,inferior_pedicle,right,0.52,0.551
t9,16,inferior_pedicle,right,0.52,0.52
t10,17,inferior_pedicle,right,0.518,0.481
t11,18,inferior_pedicle,right,0.516,0.447
t12,19,inferior_pedicle,right,0.516,0.411
l1,20,inferior_pedicle,right,0.516,0.375
l2,21,inferior_pedicle,right,0.518,0.343
l3,22,inferior_pedicle,right,0.52,0.301
l4,23,inferior_pedicle,right,0.522,0.261
l5,24,inferior_pedicle,right,0.525,0.228
s1,25,inferior_pedicle,right,0.54,0.19
c1,1,superior_lateral_tp,left,0.455,0.89
c2,2,superior_lateral_tp,left,0.465,0.874
c3,3,superior_lateral_tp,left,0.47,0.853
c4,4,superior_lateral_tp,left,0.47,0.834
c5,5,superior_lateral_tp,left,0.47,0.816
c6,6,superior_lateral_tp,left,0.47,0.798
c7,7,superior_lateral_tp,left,0.46,0.781
t1,8,superior_lateral_tp,left,0.46,0.756
t2,9,superior_lateral_tp,left,0.46,0.732
t3,10,superior_lateral_tp,left,0.46,0.71
t4,11,superior_lateral_tp,left,0.46,0.684
t5,12,superior_lateral_tp,left,0.46,0.657
t6,13,superior_lateral_tp,left,0.46,0.625
t7,14,superior_lateral_tp,left,0.46,0.592
t8,15,superior_lateral_tp,left,0.46,0.564
t9,16,superior_lateral_tp,left,0.46,0.528
t10,17,superior_lateral_tp,left,0.467,0.494
t11,18,superior_lateral_tp,left,0.47,0.46
t12,19,superior_lateral_tp,left,0.47,0.427
l1,20,superior_lateral_tp,left,0.46,0.389
l2,21,superior_lateral_tp,left,0.45,0.353
l3,22,superior_lateral_tp,left,0.445,0.318
l4,23,superior_lateral_tp,left,0.44,0.276
l5,24,superior_lateral_tp,left,0.44,0.238
s1,25,superior_lateral_tp,left,0.44,0.197
c1,1,superior_lateral_tp,right,0.545,0.89
c2,2,superior_lateral_tp,right,0.535,0.874
c3,3,superior_lateral_tp,right,0.53,0.853
c4,4,superior_lateral_tp,right,0.53,0.834
c5,5,superior_lateral_tp,right,0.53,0.816
c6,6,superior_lateral_tp,right,0.53,0.798
c7,7,superior_lateral_tp,right,0.54,0.781
t1,8,superior_lateral_tp,right,0.54,0.756
t2,9,superior_lateral_tp,right,0.54,0.732
t3,10,superior_lateral_tp,right,0.54,0.71
t4,11,superior_lateral_tp,right,0.54,0.684
t5,12,superior_lateral_tp,right,0.54,0.657
t6,13,superior_lateral_tp,right,0.54,0.625
t7,14,superior_lateral_tp,right,0.54,0.592
t8,15,superior_lateral_tp,right,0.54,0.564
t9,16,superior_lateral_tp,right,0.54,0.528
t10,17,superior_lateral_tp,right,0.533,0.494
t11,18,superior_lateral_tp,right,0.53,0.46
t12,19,superior_lateral_tp,right,0.53,0.427
l1,20,superior_lateral_tp,right,0.54,0.389
l2,21,superior_lateral_tp,right,0.55,0.353
l3,22,superior_lateral_tp,right,0.555,0.318
l4,23,superior_lateral_tp,right,0.56,0.276
l5,24,superior_lateral_tp,right,0.56,0.238
s1,25,superior_lateral_tp,right,0.56,0.197
c1,1,inferior_lateral_tp,left,0.455,0.888
c2,2,inferior_lateral_tp,left,0.465,0.865
c3,3,inferior_lateral_tp,left,0.47,0.847
c4,4,inferior_lateral_tp,left,0.47,0.828
c5,5,inferior_lateral_tp,left,0.47,0.811
c6,6,inferior_lateral_tp,left,0.47,0.793
c7,7,inferior_lateral_tp,left,0.46,0.769
t1,8,inferior_lateral_tp,left,0.46,0.747
t2,9,inferior_lateral_tp,left,0.46,0.723
t3,10,inferior_lateral_tp,left,0.46,0.701
t4,11,inferior_lateral_tp,left,0.46,0.672
t5,12,inferior_lateral_tp,left,0.46,0.643
t6,13,inferior_lateral_tp,left,0.46,0.613
t7,14,inferior_lateral_tp,left,0.46,0.583
t8,15,inferior_lateral_tp,left,0.46,0.551
t9,16,inferior_lateral_tp,left,0.46,0.52
t10,17,inferior_lateral_tp,left,0.467,0.481
t11,18,inferior_lateral_tp,left,0.47,0.447
t12,19,inferior_lateral_tp,left,0.47,0.411
l1,20,inferior_lateral_tp,left,0.46,0.375
l2,21,inferior_lateral_tp,left,0.45,0.343
l3,22,inferior_lateral_tp,left,0.445,0.301
l4,23,inferior_lateral_tp,left,0.44,0.261
l5,24,inferior_lateral_tp,left,0.44,0.228
s1,25,inferior_lateral_tp,left,0.44,0.19
c1,1,inferior_lateral_tp,right,0.545,0.888
c2,2,inferior_lateral_tp,right,0.535,0.865
c3,3,inferior_lateral_tp,right,0.53,0.847
c4,4,inferior_lateral_tp,right,0.53,0.828
c5,5,inferior_lateral_tp,right,0.53,0.811
c6,6,inferior_lateral_tp,right,0.53,0.793
c7,7,inferior_lateral_tp,right,0.54,0.769
t1,8,inferior_lateral_tp,right,0.54,0.747
t2,9,inferior_lateral_tp,right,0.54,0.723
t3,10,inferior_lateral_tp,right,0.54,0.701
t4,11,inferior_lateral_tp,right,0.54,0.672
t5,12,inferior_lateral_tp,right,0.54,0.643
t6,13,inferior_lateral_tp,right,0.54,0.613
t7,14,inferior_lateral_tp,right,0.54,0.583
t8,15,inferior_lateral_tp,right,0.54,0.551
t9,16,inferior_lateral_tp,right,0.54,0.52
t10,17,inferior_lateral_tp,right,0.533,0.481
t11,18,inferior_lateral_tp,right,0.53,0.447
t12,19,inferior_lateral_tp,right,0.53,0.411
l1,20,inferior_lateral_tp,right,0.54,0.375
l2,21,inferior_lateral_tp,right,0.55,0.343
l3,22,inferior_lateral_tp,right,0.555,0.301
l4,23,inferior_lateral_tp,right,0.56,0.261
l5,24,inferior_lateral_tp,right,0.56,0.228
s1,25,inferior_lateral_tp,right,0.56,0.19
