level,vertebral_number,approach,category,object,side,x,y,length,width,angle,left_x,superior_y,right_x,inferior_y,superior_vert_lateral_pars_x,lateral_tp_x,lateral_pars_x,superior_vert_inferior_pedicle_y,superior_lamina_y,inferior_lamina_y,inferior_pedicle_y,body_center_y,superior_tp_y,inferior_tp_y,inferior_facet_lateral_border_x,inferior_facet_superior_border_y,inferior_facet_inferior_border_y,inferior_facet_medial_border_x,inferior_endplate_y,superior_endplate_y,superior_enplate_inferior_body_y,inferior_endplate_superior_body_y
T6,13,anterior,anterior_body,corpectomy_cage,central,0.5,0.6325,,0.018,,,,,,,,,,,,,,,,,,,,0.62,0.645,0.613,0.65
T5,12,anterior,anterior_body,corpectomy_cage,central,0.5,0.6625,,0.018,,,,,,,,,,,,,,,,,,,,0.65,0.675,0.645,0.682
T4,11,anterior,anterior_body,corpectomy_cage,central,0.5,0.6935,,0.018,,,,,,,,,,,,,,,,,,,,0.682,0.705,0.675,0.712
T3,10,anterior,anterior_body,corpectomy_cage,central,0.5,0.722,,0.018,,,,,,,,,,,,,,,,,,,,0.712,0.732,0.705,0.74
T2,9,anterior,anterior_body,corpectomy_cage,central,0.5,0.75,,0.017,,,,,,,,,,,,,,,,,,,,0.74,0.76,0.732,0.77
T1,8,anterior,anterior_body,corpectomy_cage,central,0.5,0.78,,0.016,,,,,,,,,,,,,,,,,,,,0.77,0.79,0.76,0.795
C7,7,anterior,anterior_body,corpectomy_cage,central,0.5,0.805,,0.015,,,,,,,,,,,,,,,,,,,,0.795,0.815,0.79,0.821
C6,6,anterior,anterior_body,corpectomy_cage,central,0.5,0.8295,,0.015,,,,,,,,,,,,,,,,,,,,0.821,0.838,0.815,0.846
C5,5,anterior,anterior_body,corpectomy_cage,central,0.5,0.8555,,0.015,,,,,,,,,,,,,,,,,,,,0.846,0.865,0.838,0.87
C4,4,anterior,anterior_body,corpectomy_cage,central,0.5,0.879,,0.015,,,,,,,,,,,,,,,,,,,,0.87,0.888,0.865,0.897
C3,3,anterior,anterior_body,corpectomy_cage,central,0.5,0.9075,,0.015,,,,,,,,,,,,,,,,,,,,0.897,0.918,0.888,0.925
C2,2,anterior,anterior_body,corpectomy_cage,central,0.5,0.94,,0.015,,,,,,,,,,,,,,,,,,,,0.925,0.955,0.918,0.965
C1,1,anterior,anterior_body,corpectomy_cage,central,0.5,0.975,,0.015,,,,,,,,,,,,,,,,,,,,0.965,0.985,0.955,0.96
L5-S1,24.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.155,,0.024,,,,,,,,,,,,,,,,,,,,0.168,0.16,,
L4-L5,23.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.2125,,0.023,,,,,,,,,,,,,,,,,,,,0.215,0.205,,
L3-L4,22.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.255,,0.022,,,,,,,,,,,,,,,,,,,,0.263,0.255,,
L2-L3,21.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.309,,0.021,,,,,,,,,,,,,,,,,,,,0.317,0.305,,
L1-L2,20.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.3575,,0.02,,,,,,,,,,,,,,,,,,,,0.367,0.357,,
T12-L1,19.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.405,,0.02,,,,,,,,,,,,,,,,,,,,0.415,0.406,,
T11-T12,18.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.4475,,0.02,,,,,,,,,,,,,,,,,,,,0.457,0.45,,
T10-T11,17.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.4925,,0.019,,,,,,,,,,,,,,,,,,,,0.495,0.49,,
T9-T10,16.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.5275,,0.018,,,,,,,,,,,,,,,,,,,,0.53,0.525,,
T8-T9,15.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.555,,0.018,,,,,,,,,,,,,,,,,,,,0.56,0.555,,
T7-T8,14.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.5875,,0.018,,,,,,,,,,,,,,,,,,,,0.591,0.584,,
T6-T7,13.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.615,,0.017,,,,,,,,,,,,,,,,,,,,0.62,0.613,,
T5-T6,12.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.6475,,0.017,,,,,,,,,,,,,,,,,,,,0.65,0.645,,
T4-T5,11.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.6725,,0.016,,,,,,,,,,,,,,,,,,,,0.682,0.675,,
T3-T4,10.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.705,,0.016,,,,,,,,,,,,,,,,,,,,0.712,0.705,,
T2-T3,9.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.735,,0.015,,,,,,,,,,,,,,,,,,,,0.74,0.732,,
T1-T2,8.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.765,,0.015,,,,,,,,,,,,,,,,,,,,0.77,0.76,,
C7-T1,7.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.7925,,0.014,,,,,,,,,,,,,,,,,,,,0.795,0.79,,
C6-C7,6.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.8175,,0.014,,,,,,,,,,,,,,,,,,,,0.821,0.815,,
C5-C6,5.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.8425,,0.014,,,,,,,,,,,,,,,,,,,,0.846,0.838,,
C4-C5,4.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.8675,,0.013,,,,,,,,,,,,,,,,,,,,0.87,0.865,,
C3-C4,3.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.8925,,0.013,,,,,,,,,,,,,,,,,,,,0.897,0.888,,
C2-C3,2.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.9215,,0.012,,,,,,,,,,,,,,,,,,,,0.925,0.918,,
C1-C2,1.5,anterior,anterior_disc,diskectomy_fusion,central,0.5,0.96,,0.01,,,,,,,,,,,,,,,,,,,,0.965,0.955,,
L5-S1,24.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.155,,0.024,,,,,,,,,,,,,,,,,,,,0.168,0.16,,
L4-L5,23.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.2125,,0.023,,,,,,,,,,,,,,,,,,,,0.215,0.205,,
L3-L4,22.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.255,,0.022,,,,,,,,,,,,,,,,,,,,0.263,0.255,,
L2-L3,21.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.309,,0.021,,,,,,,,,,,,,,,,,,,,0.317,0.305,,
L1-L2,20.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.3575,,0.02,,,,,,,,,,,,,,,,,,,,0.367,0.357,,
T12-L1,19.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.405,,0.02,,,,,,,,,,,,,,,,,,,,0.415,0.406,,
T11-T12,18.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.4475,,0.02,,,,,,,,,,,,,,,,,,,,0.457,0.45,,
T10-T11,17.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.4925,,0.019,,,,,,,,,,,,,,,,,,,,0.495,0.49,,
T9-T10,16.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.5275,,0.018,,,,,,,,,,,,,,,,,,,,0.53,0.525,,
T8-T9,15.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.555,,0.018,,,,,,,,,,,,,,,,,,,,0.56,0.555,,
T7-T8,14.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.5875,,0.018,,,,,,,,,,,,,,,,,,,,0.591,0.584,,
T6-T7,13.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.615,,0.017,,,,,,,,,,,,,,,,,,,,0.62,0.613,,
T5-T6,12.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.6475,,0.017,,,,,,,,,,,,,,,,,,,,0.65,0.645,,
T4-T5,11.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.6725,,0.016,,,,,,,,,,,,,,,,,,,,0.682,0.675,,
T3-T4,10.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.705,,0.016,,,,,,,,,,,,,,,,,,,,0.712,0.705,,
T2-T3,9.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.735,,0.015,,,,,,,,,,,,,,,,,,,,0.74,0.732,,
T1-T2,8.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.765,,0.015,,,,,,,,,,,,,,,,,,,,0.77,0.76,,
C7-T1,7.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.7925,,0.014,,,,,,,,,,,,,,,,,,,,0.795,0.79,,
C6-C7,6.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.8175,,0.014,,,,,,,,,,,,,,,,,,,,0.821,0.815,,
C5-C6,5.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.8425,,0.014,,,,,,,,,,,,,,,,,,,,0.846,0.838,,
C4-C5,4.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.8675,,0.013,,,,,,,,,,,,,,,,,,,,0.87,0.865,,
C3-C4,3.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.8925,,0.013,,,,,,,,,,,,,,,,,,,,0.897,0.888,,
C2-C3,2.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.9215,,0.012,,,,,,,,,,,,,,,,,,,,0.925,0.918,,
C1-C2,1.5,anterior,anterior_disc,diskectomy_fusion_no_interbody_device,central,0.5,0.96,,0.01,,,,,,,,,,,,,,,,,,,,0.965,0.955,,
L5-S1,24.5,anterior,anterior_disc,anterior_plate,central,0.5,0.155,,0.024,,,,,,,,,,,,,,,,,,,,0.147,0.1865,,
L4-L5,23.5,anterior,anterior_disc,anterior_plate,central,0.5,0.2125,,0.023,,,,,,,,,,,,,,,,,,,,0.1865,0.235,,
L3-L4,22.5,anterior,anterior_disc,anterior_plate,central,0.5,0.255,,0.022,,,,,,,,,,,,,,,,,,,,0.235,0.284,,
L2-L3,21.5,anterior,anterior_disc,anterior_plate,central,0.5,0.309,,0.021,,,,,,,,,,,,,,,,,,,,0.284,0.337,,
L1-L2,20.5,anterior,anterior_disc,anterior_plate,central,0.5,0.3575,,0.02,,,,,,,,,,,,,,,,,,,,0.337,0.3865,,
T12-L1,19.5,anterior,anterior_disc,anterior_plate,central,0.5,0.405,,0.02,,,,,,,,,,,,,,,,,,,,0.3865,0.4325,,
T11-T12,18.5,anterior,anterior_disc,anterior_plate,central,0.5,0.4475,,0.02,,,,,,,,,,,,,,,,,,,,0.4325,0.4735,,
T10-T11,17.5,anterior,anterior_disc,anterior_plate,central,0.5,0.4925,,0.019,,,,,,,,,,,,,,,,,,,,0.4735,0.51,,
T9-T10,16.5,anterior,anterior_disc,anterior_plate,central,0.5,0.5275,,0.018,,,,,,,,,,,,,,,,,,,,0.51,0.5425,,
T8-T9,15.5,anterior,anterior_disc,anterior_plate,central,0.5,0.555,,0.018,,,,,,,,,,,,,,,,,,,,0.5425,0.572,,
T7-T8,14.5,anterior,anterior_disc,anterior_plate,central,0.5,0.5875,,0.018,,,,,,,,,,,,,,,,,,,,0.572,0.602,,
T6-T7,13.5,anterior,anterior_disc,anterior_plate,central,0.5,0.615,,0.017,,,,,,,,,,,,,,,,,,,,0.602,0.6325,,
T5-T6,12.5,anterior,anterior_disc,anterior_plate,central,0.5,0.6475,,0.017,,,,,,,,,,,,,,,,,,,,0.6325,0.6625,,
T4-T5,11.5,anterior,anterior_disc,anterior_plate,central,0.5,0.6725,,0.016,,,,,,,,,,,,,,,,,,,,0.6625,0.6935,,
T3-T4,10.5,anterior,anterior_disc,anterior_plate,central,0.5,0.705,,0.016,,,,,,,,,,,,,,,,,,,,0.6935,0.722,,
T2-T3,9.5,anterior,anterior_disc,anterior_plate,central,0.5,0.735,,0.015,,,,,,,,,,,,,,,,,,,,0.722,0.75,,
T1-T2,8.5,anterior,anterior_disc,anterior_plate,central,0.5,0.765,,0.015,,,,,,,,,,,,,,,,,,,,0.75,0.78,,
C7-T1,7.5,anterior,anterior_disc,anterior_plate,central,0.5,0.7925,,0.014,,,,,,,,,,,,,,,,,,,,0.78,0.805,,
C6-C7,6.5,anterior,anterior_disc,anterior_plate,central,0.5,0.8175,,0.014,,,,,,,,,,,,,,,,,,,,0.805,0.8295,,
C5-C6,5.5,anterior,anterior_disc,anterior_plate,central,0.5,0.8425,,0.014,,,,,,,,,,,,,,,,,,,,0.8295,0.8555,,
C4-C5,4.5,anterior,anterior_disc,anterior_plate,central,0.5,0.8675,,0.013,,,,,,,,,,,,,,,,,,,,0.8555,0.879,,
C3-C4,3.5,anterior,anterior_disc,anterior_plate,central,0.5,0.8925,,0.013,,,,,,,,,,,,,,,,,,,,0.879,0.9075,,
C2-C3,2.5,anterior,anterior_disc,anterior_plate,central,0.5,0.9215,,0.012,,,,,,,,,,,,,,,,,,,,0.9075,0.94,,
C1-C2,1.5,anterior,anterior_disc,anterior_plate,central,0.5,0.96,,0.01,,,,,,,,,,,,,,,,,,,,0.94,0.975,,
L5-S1,24.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.155,,0.024,,,,,,,,,,,,,,,,,,,,0.16,0.1865,,
L4-L5,23.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.2125,,0.023,,,,,,,,,,,,,,,,,,,,0.205,0.235,,
L3-L4,22.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.255,,0.022,,,,,,,,,,,,,,,,,,,,0.255,0.284,,
L2-L3,21.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.309,,0.021,,,,,,,,,,,,,,,,,,,,0.305,0.337,,
L1-L2,20.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.3575,,0.02,,,,,,,,,,,,,,,,,,,,0.357,0.3865,,
T12-L1,19.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.405,,0.02,,,,,,,,,,,,,,,,,,,,0.406,0.4325,,
T11-T12,18.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.4475,,0.02,,,,,,,,,,,,,,,,,,,,0.45,0.4735,,
T10-T11,17.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.4925,,0.019,,,,,,,,,,,,,,,,,,,,0.49,0.51,,
T9-T10,16.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.5275,,0.018,,,,,,,,,,,,,,,,,,,,0.525,0.5425,,
T8-T9,15.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.555,,0.018,,,,,,,,,,,,,,,,,,,,0.555,0.572,,
T7-T8,14.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.5875,,0.018,,,,,,,,,,,,,,,,,,,,0.584,0.602,,
T6-T7,13.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.615,,0.017,,,,,,,,,,,,,,,,,,,,0.613,0.6325,,
T5-T6,12.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.6475,,0.017,,,,,,,,,,,,,,,,,,,,0.645,0.6625,,
T4-T5,11.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.6725,,0.016,,,,,,,,,,,,,,,,,,,,0.675,0.6935,,
T3-T4,10.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.705,,0.016,,,,,,,,,,,,,,,,,,,,0.705,0.722,,
T2-T3,9.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.735,,0.015,,,,,,,,,,,,,,,,,,,,0.732,0.75,,
T1-T2,8.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.765,,0.015,,,,,,,,,,,,,,,,,,,,0.76,0.78,,
C7-T1,7.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.7925,,0.014,,,,,,,,,,,,,,,,,,,,0.79,0.805,,
C6-C7,6.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.8175,,0.014,,,,,,,,,,,,,,,,,,,,0.815,0.8295,,
C5-C6,5.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.8425,,0.014,,,,,,,,,,,,,,,,,,,,0.838,0.8555,,
C4-C5,4.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.8675,,0.013,,,,,,,,,,,,,,,,,,,,0.865,0.879,,
C3-C4,3.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.8925,,0.013,,,,,,,,,,,,,,,,,,,,0.888,0.9075,,
C2-C3,2.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.9215,,0.012,,,,,,,,,,,,,,,,,,,,0.918,0.94,,
C1-C2,1.5,anterior,anterior_disc,anterior_buttress_plate,central,0.5,0.96,,0.01,,,,,,,,,,,,,,,,,,,,0.955,0.975,,
L5-S1,24.5,anterior,anterior_disc,screw_washer,central,0.5,0.16,,0.024,,,,,,,,,,,,,,,,,,,,0.16,0.1865,,
L4-L5,23.5,anterior,anterior_disc,screw_washer,central,0.5,0.205,,0.023,,,,,,,,,,,,,,,,,,,,0.205,0.235,,
L3-L4,22.5,anterior,anterior_disc,screw_washer,central,0.5,0.255,,0.022,,,,,,,,,,,,,,,,,,,,0.255,0.284,,
L2-L3,21.5,anterior,anterior_disc,screw_washer,central,0.5,0.305,,0.021,,,,,,,,,,,,,,,,,,,,0.305,0.337,,
L1-L2,20.5,anterior,anterior_disc,screw_washer,central,0.5,0.357,,0.02,,,,,,,,,,,,,,,,,,,,0.357,0.3865,,
T12-L1,19.5,anterior,anterior_disc,screw_washer,central,0.5,0.406,,0.02,,,,,,,,,,,,,,,,,,,,0.406,0.4325,,
T11-T12,18.5,anterior,anterior_disc,screw_washer,central,0.5,0.45,,0.02,,,,,,,,,,,,,,,,,,,,0.45,0.4735,,
T10-T11,17.5,anterior,anterior_disc,screw_washer,central,0.5,0.49,,0.019,,,,,,,,,,,,,,,,,,,,0.49,0.51,,
T9-T10,16.5,anterior,anterior_disc,screw_washer,central,0.5,0.525,,0.018,,,,,,,,,,,,,,,,,,,,0.525,0.5425,,
T8-T9,15.5,anterior,anterior_disc,screw_washer,central,0.5,0.555,,0.018,,,,,,,,,,,,,,,,,,,,0.555,0.572,,
T7-T8,14.5,anterior,anterior_disc,screw_washer,central,0.5,0.584,,0.018,,,,,,,,,,,,,,,,,,,,0.584,0.602,,
T6-T7,13.5,anterior,anterior_disc,screw_washer,central,0.5,0.613,,0.017,,,,,,,,,,,,,,,,,,,,0.613,0.6325,,
T5-T6,12.5,anterior,anterior_disc,screw_washer,central,0.5,0.645,,0.017,,,,,,,,,,,,,,,,,,,,0.645,0.6625,,
T4-T5,11.5,anterior,anterior_disc,screw_washer,central,0.5,0.675,,0.016,,,,,,,,,,,,,,,,,,,,0.675,0.6935,,
T3-T4,10.5,anterior,anterior_disc,screw_washer,central,0.5,0.705,,0.016,,,,,,,,,,,,,,,,,,,,0.705,0.722,,
T2-T3,9.5,anterior,anterior_disc,screw_washer,central,0.5,0.732,,0.015,,,,,,,,,,,,,,,,,,,,0.732,0.75,,
T1-T2,8.5,anterior,anterior_disc,screw_washer,central,0.5,0.76,,0.015,,,,,,,,,,,,,,,,,,,,0.76,0.78,,
C7-T1,7.5,anterior,anterior_disc,screw_washer,central,0.5,0.79,,0.014,,,,,,,,,,,,,,,,,,,,0.79,0.805,,
C6-C7,6.5,anterior,anterior_disc,screw_washer,central,0.5,0.815,,0.014,,,,,,,,,,,,,,,,,,,,0.815,0.8295,,
C5-C6,5.5,anterior,anterior_disc,screw_washer,central,0.5,0.838,,0.014,,,,,,,,,,,,,,,,,,,,0.838,0.8555,,
C4-C5,4.5,anterior,anterior_disc,screw_washer,central,0.5,0.865,,0.013,,,,,,,,,,,,,,,,,,,,0.865,0.879,,
C3-C4,3.5,anterior,anterior_disc,screw_washer,central,0.5,0.888,,0.013,,,,,,,,,,,,,,,,,,,,0.888,0.9075,,
C2-C3,2.5,anterior,anterior_disc,screw_washer,central,0.5,0.918,,0.012,,,,,,,,,,,,,,,,,,,,0.918,0.94,,
C1-C2,1.5,anterior,anterior_disc,screw_washer,central,0.5,0.955,,0.01,,,,,,,,,,,,,,,,,,,,0.955,0.975,,
C2-C3,2.5,posterior,decompression,diskectomy,left,0.491,0.857,,0.006,,0.488,0.861,0.494,0.853,,,,,,,,,,,,,,,,,,
C3-C4,3.5,posterior,decompression,diskectomy,left,0.491,0.8385,,0.006,,0.488,0.842,0.494,0.835,,,,,,,,,,,,,,,,,,
C4-C5,4.5,posterior,decompression,diskectomy,left,0.491,0.819,,0.006,,0.488,0.822,0.494,0.816,,,,,,,,,,,,,,,,,,
C5-C6,5.5,posterior,decompression,diskectomy,left,0.491,0.8005,,0.006,,0.488,0.804,0.494,0.797,,,,,,,,,,,,,,,,,,
C6-C7,6.5,posterior,decompression,diskectomy,left,0.491,0.7825,,0.006,,0.488,0.786,0.494,0.779,,,,,,,,,,,,,,,,,,
C7-T1,7.5,posterior,decompression,diskectomy,left,0.491,0.7595,,0.006,,0.488,0.763,0.494,0.756,,,,,,,,,,,,,,,,,,
T1-T2,8.5,posterior,decompression,diskectomy,left,0.491,0.7345,,0.006,,0.488,0.737,0.494,0.732,,,,,,,,,,,,,,,,,,
T2-T3,9.5,posterior,decompression,diskectomy,left,0.491,0.7115,,0.006,,0.488,0.713,0.494,0.71,,,,,,,,,,,,,,,,,,
T3-T4,10.5,posterior,decompression,diskectomy,left,0.491,0.6845,,0.006,,0.488,0.687,0.494,0.682,,,,,,,,,,,,,,,,,,
T4-T5,11.5,posterior,decompression,diskectomy,left,0.491,0.6575,,0.006,,0.488,0.658,0.494,0.657,,,,,,,,,,,,,,,,,,
T5-T6,12.5,posterior,decompression,diskectomy,left,0.491,0.6265,,0.006,,0.488,0.629,0.494,0.624,,,,,,,,,,,,,,,,,,
