level,vertebral_number,category,implant,side,x,y,length,width,angle,grade,left_x,superior_y,right_x,inferior_y
t3,11,implant,tp_hook,left,0.476,0.716,,,,,,,,
t4,12,implant,tp_hook,left,0.476,0.688,,,,,,,,
t5,13,implant,tp_hook,left,0.476,0.66,,,,,,,,
t6,14,implant,tp_hook,left,0.476,0.63,,,,,,,,
t7,15,implant,tp_hook,left,0.476,0.596,,,,,,,,
t8,16,implant,tp_hook,left,0.476,0.566,,,,,,,,
t9,17,implant,tp_hook,left,0.476,0.532,,,,,,,,
t10,18,implant,tp_hook,left,0.476,0.496,,,,,,,,
t11,19,implant,tp_hook,left,0.476,0.46,,,,,,,,
t12,20,implant,tp_hook,left,0.476,0.43,,,,,,,,
l1,21,implant,tp_hook,left,0.474,0.39,,,,,,,,
l2,22,implant,tp_hook,left,0.472,0.36,,,,,,,,
l3,23,implant,tp_hook,left,0.47,0.318,,,,,,,,
l4,24,implant,tp_hook,left,0.468,0.278,,,,,,,,
l5,25,implant,tp_hook,left,0.466,0.238,,,,,,,,
occiput,1,implant,occipital_screw,left,0.499,0.905,0.5,0.75,90,,,,,
c2,3,implant,pedicle_screw,right,0.525,0.866,0.8,0.75,20,,,,,
c3,4,implant,pedicle_screw,right,0.525,0.848,0.8,0.75,10,,,,,
c4,5,implant,pedicle_screw,right,0.525,0.831,0.8,0.75,5,,,,,
c5,6,implant,pedicle_screw,right,0.525,0.813,0.8,0.75,0,,,,,
c6,7,implant,pedicle_screw,right,0.525,0.795,0.8,0.75,-5,,,,,
c7,8,implant,pedicle_screw,right,0.525,0.78,0.8,0.75,-10,,,,,
t1,9,implant,pedicle_screw,right,0.525,0.754,0.8,0.75,-14,,,,,
t2,10,implant,pedicle_screw,right,0.525,0.73,0.8,0.75,-15,,,,,
t3,11,implant,pedicle_screw,right,0.525,0.709,0.8,0.75,-14,,,,,
t4,12,implant,pedicle_screw,right,0.525,0.679,0.8,0.75,-12,,,,,
t5,13,implant,pedicle_screw,right,0.525,0.653,0.8,1,-10,,,,,
t6,14,implant,pedicle_screw,right,0.525,0.623,0.8,1,-8,,,,,
t7,15,implant,pedicle_screw,right,0.525,0.591,0.8,1,-6,,,,,
t8,16,implant,pedicle_screw,right,0.525,0.561,0.8,1,-4,,,,,
t9,17,implant,pedicle_screw,right,0.525,0.529,0.7,1,-2,,,,,
t10,18,implant,pedicle_screw,right,0.525,0.492,0.6,1,0,,,,,
t11,19,implant,pedicle_screw,right,0.525,0.453,0.5,1,5,,,,,
t12,20,implant,pedicle_screw,right,0.525,0.423,0.6,1,10,,,,,
l1,21,implant,pedicle_screw,right,0.5275,0.384,0.7,1,10,,,,,
l2,22,implant,pedicle_screw,right,0.53,0.352,0.8,1.25,5,,,,,
l3,23,implant,pedicle_screw,right,0.5325,0.311,0.9,1.25,0,,,,,
l4,24,implant,pedicle_screw,right,0.535,0.272,1,1.25,-10,,,,,
l5,25,implant,pedicle_screw,right,0.5375,0.235,1.2,1.5,-20,,,,,
s1,26,implant,pedicle_screw,right,0.54,0.204,1.5,1.5,-30,,,,,
iliac,27,implant,pelvic_screw,right,0.553,0.18,3,1.5,-150,,,,,
iliac,27,implant,pelvic_screw,right,0.559,0.199,3,1.5,-150,,,,,
s2ai,28,implant,pelvic_screw,right,0.534,0.166,3,1.5,-155,,,,,
s2ai,28,implant,pelvic_screw,right,0.533,0.158,3,1.5,-155,,,,,
c2,3,implant,pars_screw,right,0.519,0.863,0.5,0.75,70,,,,,
c1,2,implant,lateral_mass_screw,right,0.525,0.88,0.5,0.75,75,,,,,
c3,4,implant,lateral_mass_screw,right,0.519,0.847,0.5,0.75,120,,,,,
c4,5,implant,lateral_mass_screw,right,0.519,0.828,0.5,0.75,120,,,,,
c5,6,implant,lateral_mass_screw,right,0.519,0.81,0.5,0.75,120,,,,,
c6,7,implant,lateral_mass_screw,right,0.518,0.793,0.5,0.75,120,,,,,
c7,8,implant,lateral_mass_screw,right,0.518,0.775,0.5,0.75,120,,,,,
c1,2,implant,translaminar_screw,right,0.51,0.885,1,0.75,-15,,,,,
c2,3,implant,translaminar_screw,right,0.51,0.869,1,0.75,-15,,,,,
c3,4,implant,translaminar_screw,right,0.51,0.849,1,0.75,-15,,,,,
c4,5,implant,translaminar_screw,right,0.51,0.829,1,0.75,-15,,,,,
c5,6,implant,translaminar_screw,right,0.51,0.81,1,0.75,-15,,,,,
c6,7,implant,translaminar_screw,right,0.51,0.792,1,0.75,-15,,,,,
c7,8,implant,translaminar_screw,right,0.51,0.773,1,0.75,-15,,,,,
t1,9,implant,translaminar_screw,right,0.51,0.749,1,0.75,-15,,,,,
t2,10,implant,translaminar_screw,right,0.51,0.725,1,0.75,-15,,,,,
t3,11,implant,translaminar_screw,right,0.51,0.701,1,0.75,-15,,,,,
t4,12,implant,translaminar_screw,right,0.51,0.671,1,0.75,-15,,,,,
t5,13,implant,translaminar_screw,right,0.51,0.642,1,0.75,-15,,,,,
t6,14,implant,translaminar_screw,right,0.51,0.61,1,0.75,-15,,,,,
t7,15,implant,translaminar_screw,right,0.51,0.578,1,0.75,-15,,,,,
t8,16,implant,translaminar_screw,right,0.51,0.544,1,0.75,-15,,,,,
t9,17,implant,translaminar_screw,right,0.51,0.511,1,0.75,-15,,,,,
t10,18,implant,translaminar_screw,right,0.51,0.48,1,0.75,-15,,,,,
t11,19,implant,translaminar_screw,right,0.51,0.445,1,0.75,-15,,,,,
t12,20,implant,translaminar_screw,right,0.51,0.407,1,0.75,-15,,,,,
l1,21,implant,translaminar_screw,right,0.51,0.372,1,0.75,-15,,,,,
l2,22,implant,translaminar_screw,right,0.51,0.335,1,0.75,-15,,,,,
l3,23,implant,translaminar_screw,right,0.51,0.298,1,0.75,-15,,,,,
l4,24,implant,translaminar_screw,right,0.51,0.26,1,0.75,-15,,,,,
l5,25,implant,translaminar_screw,right,0.51,0.224,1,0.75,-15,,,,,
c1,2,implant,laminar_downgoing_hook,right,0.511,0.89,,,,,,,,
c2,3,implant,laminar_downgoing_hook,right,0.511,0.874,,,,,,,,
c3,4,implant,laminar_downgoing_hook,right,0.511,0.853,,,,,,,,
c4,5,implant,laminar_downgoing_hook,right,0.511,0.836,,,,,,,,
c5,6,implant,laminar_downgoing_hook,right,0.511,0.818,,,,,,,,
c6,7,implant,laminar_downgoing_hook,right,0.511,0.8,,,,,,,,
c7,8,implant,laminar_downgoing_hook,right,0.511,0.783,,,,,,,,
t1,9,implant,laminar_downgoing_hook,right,0.511,0.757,,,,,,,,
t2,10,implant,laminar_downgoing_hook,right,0.511,0.735,,,,,,,,
t3,11,implant,laminar_downgoing_hook,right,0.511,0.711,,,,,,,,
t4,12,implant,laminar_downgoing_hook,right,0.511,0.683,,,,,,,,
t5,13,implant,laminar_downgoing_hook,right,0.511,0.655,,,,,,,,
t6,14,implant,laminar_downgoing_hook,right,0.511,0.625,,,,,,,,
t7,15,implant,laminar_downgoing_hook,right,0.511,0.591,,,,,,,,
t8,16,implant,laminar_downgoing_hook,right,0.511,0.561,,,,,,,,
t9,17,implant,laminar_downgoing_hook,right,0.511,0.527,,,,,,,,
t10,18,implant,laminar_downgoing_hook,right,0.511,0.491,,,,,,,,
t11,19,implant,laminar_downgoing_hook,right,0.511,0.46,,,,,,,,
t12,20,implant,laminar_downgoing_hook,right,0.511,0.42,,,,,,,,
l1,21,implant,laminar_downgoing_hook,right,0.511,0.38,,,,,,,,
l2,22,implant,laminar_downgoing_hook,right,0.511,0.348,,,,,,,,
l3,23,implant,laminar_downgoing_hook,right,0.511,0.31,,,,,,,,
l4,24,implant,laminar_downgoing_hook,right,0.511,0.27,,,,,,,,
l5,25,implant,laminar_downgoing_hook,right,0.511,0.235,,,,,,,,
c1,2,implant,laminar_upgoing_hook,right,0.511,0.877,,,,,,,,
c2,3,implant,laminar_upgoing_hook,right,0.511,0.858,,,,,,,,
c3,4,implant,laminar_upgoing_hook,right,0.511,0.839,,,,,,,,
c4,5,implant,laminar_upgoing_hook,right,0.511,0.82,,,,,,,,
c5,6,implant,laminar_upgoing_hook,right,0.511,0.803,,,,,,,,
c6,7,implant,laminar_upgoing_hook,right,0.511,0.785,,,,,,,,
c7,8,implant,laminar_upgoing_hook,right,0.511,0.759,,,,,,,,
t1,9,implant,laminar_upgoing_hook,right,0.511,0.733,,,,,,,,
t2,10,implant,laminar_upgoing_hook,right,0.511,0.709,,,,,,,,
t3,11,implant,laminar_upgoing_hook,right,0.511,0.683,,,,,,,,
t4,12,implant,laminar_upgoing_hook,right,0.511,0.654,,,,,,,,
t5,13,implant,laminar_upgoing_hook,right,0.511,0.625,,,,,,,,
t6,14,implant,laminar_upgoing_hook,right,0.511,0.591,,,,,,,,
t7,15,implant,laminar_upgoing_hook,right,0.511,0.562,,,,,,,,
t8,16,implant,laminar_upgoing_hook,right,0.511,0.526,,,,,,,,
t9,17,implant,laminar_upgoing_hook,right,0.511,0.494,,,,,,,,
t10,18,implant,laminar_upgoing_hook,right,0.511,0.461,,,,,,,,
t11,19,implant,laminar_upgoing_hook,right,0.511,0.421,,,,,,,,
t12,20,implant,laminar_upgoing_hook,right,0.511,0.382,,,,,,,,
l1,21,implant,laminar_upgoing_hook,right,0.511,0.348,,,,,,,,
l2,22,implant,laminar_upgoing_hook,right,0.511,0.313,,,,,,,,
l3,23,implant,laminar_upgoing_hook,right,0.511,0.28,,,,,,,,
l4,24,implant,laminar_upgoing_hook,right,0.511,0.243,,,,,,,,
l5,25,implant,laminar_upgoing_hook,right,0.511,0.21,,,,,,,,
t1,9,implant,tp_hook,right,0.524,0.762,,,,,,,,
t2,10,implant,tp_hook,right,0.524,0.74,,,,,,,,
t3,11,implant,tp_hook,right,0.524,0.716,,,,,,,,
t4,12,implant,tp_hook,right,0.524,0.688,,,,,,,,
t5,13,implant,tp_hook,right,0.524,0.66,,,,,,,,
t6,14,implant,tp_hook,right,0.524,0.63,,,,,,,,
t7,15,implant,tp_hook,right,0.524,0.596,,,,,,,,
t8,16,implant,tp_hook,right,0.524,0.566,,,,,,,,
t9,17,implant,tp_hook,right,0.524,0.532,,,,,,,,
t10,18,implant,tp_hook,right,0.524,0.496,,,,,,,,
t11,19,implant,tp_hook,right,0.524,0.46,,,,,,,,
t12,20,implant,tp_hook,right,0.524,0.43,,,,,,,,
l1,21,implant,tp_hook,right,0.526,0.39,,,,,,,,
l2,22,implant,tp_hook,right,0.528,0.36,,,,,,,,
l3,23,implant,tp_hook,right,0.53,0.318,,,,,,,,
l4,24,implant,tp_hook,right,0.532,0.278,,,,,,,,
l5,25,implant,tp_hook,right,0.534,0.238,,,,,,,,
occiput,1,implant,occipital_screw,right,0.501,0.915,0.5,0.75,90,,,,,
c1,2,implant,tether,right,0.5,0.885,0.017,,,,,,,
c2,3,implant,tether,right,0.5,0.868,0.021,,,,,,,
c3,4,implant,tether,right,0.5,0.847,0.02,,,,,,,
c4,5,implant,tether,right,0.5,0.827,0.018,,,,,,,
c5,6,implant,tether,right,0.5,0.809,0.017,,,,,,,
c6,7,implant,tether,right,0.5,0.792,0.018,,,,,,,
c7,8,implant,tether,right,0.5,0.774,0.026,,,,,,,
t1,9,implant,tether,right,0.5,0.748,0.027,,,,,,,
t2,10,implant,tether,right,0.5,0.721,0.031,,,,,,,
t3,11,implant,tether,right,0.5,0.69,0.027,,,,,,,
t4,12,implant,tether,right,0.5,0.663,0.036,,,,,,,
t5,13,implant,tether,right,0.5,0.627,0.034,,,,,,,
t6,14,implant,tether,right,0.5,0.593,0.033,,,,,,,
t7,15,implant,tether,right,0.5,0.56,0.035,,,,,,,
t8,16,implant,tether,right,0.5,0.525,0.027,,,,,,,
t9,17,implant,tether,right,0.5,0.498,0.033,,,,,,,
t10,18,implant,tether,right,0.5,0.465,0.035,,,,,,,
t11,19,implant,tether,right,0.5,0.43,0.035,,,,,,,
t12,20,implant,tether,right,0.5,0.395,0.033,,,,,,,
l1,21,implant,tether,right,0.5,0.362,0.037,,,,,,,
l2,22,implant,tether,right,0.5,0.325,0.037,,,,,,,
l3,23,implant,tether,right,0.5,0.288,0.032,,,,,,,
l4,24,implant,tether,right,0.5,0.256,0.036,,,,,,,
l5,25,implant,tether,right,0.5,0.22,0.035,,,,,,,
c1,2,implant,sublaminar_wire,right,0.515,0.889,0.01,,,,,,,
c2,3,implant,sublaminar_wire,right,0.515,0.873,0.012,,,,,,,
c3,4,implant,sublaminar_wire,right,0.515,0.853,0.011,,,,,,,
c4,5,implant,sublaminar_wire,right,0.515,0.835,0.013,,,,,,,
c5,6,implant,sublaminar_wire,right,0.515,0.816,0.012,,,,,,,
c6,7,implant,sublaminar_wire,right,0.515,0.797,0.011,,,,,,,
c7,8,implant,sublaminar_wire,right,0.515,0.779,0.016,,,,,,,
t1,9,implant,sublaminar_wire,right,0.515,0.756,0.019,,,,,,,
t2,10,implant,sublaminar_wire,right,0.515,0.732,0.019,,,,,,,
t3,11,implant,sublaminar_wire,right,0.515,0.71,0.023,,,,,,,
t4,12,implant,sublaminar_wire,right,0.515,0.682,0.024,,,,,,,
t5,13,implant,sublaminar_wire,right,0.515,0.657,0.028,,,,,,,
t6,14,implant,sublaminar_wire,right,0.515,0.624,0.029,,,,,,,
t7,15,implant,sublaminar_wire,right,0.515,0.591,0.025,,,,,,,
t8,16,implant,sublaminar_wire,right,0.515,0.561,0.031,,,,,,,
t9,17,implant,sublaminar_wire,right,0.515,0.528,0.03,,,,,,,
t10,18,implant,sublaminar_wire,right,0.515,0.496,0.031,,,,,,,
t11,19,implant,sublaminar_wire,right,0.515,0.463,0.038,,,,,,,
t12,20,implant,sublaminar_wire,right,0.515,0.425,0.039,,,,,,,
l1,21,implant,sublaminar_wire,right,0.515,0.383,0.031,,,,,,,
l2,22,implant,sublaminar_wire,right,0.515,0.349,0.032,,,,,,,
l3,23,implant,sublaminar_wire,right,0.515,0.315,0.031,,,,,,,
l4,24,implant,sublaminar_wire,right,0.515,0.274,0.027,,,,,,,
l5,25,implant,sublaminar_wire,right,0.515,0.238,0.024,,,,,,,
c1,2,implant,sublaminar_wire,left,0.485,0.889,0.01,,,,,,,
c2,3,implant,sublaminar_wire,left,0.485,0.873,0.012,,,,,,,
c3,4,implant,sublaminar_wire,left,0.485,0.853,0.011,,,,,,,
c4,5,implant,sublaminar_wire,left,0.485,0.835,0.013,,,,,,,
c5,6,implant,sublaminar_wire,left,0.485,0.816,0.012,,,,,,,
c6,7,implant,sublaminar_wire,left,0.485,0.797,0.011,,,,,,,
c7,8,implant,sublaminar_wire,left,0.485,0.779,0.016,,,,,,,
t1,9,implant,sublaminar_wire,left,0.485,0.756,0.019,,,,,,,
t2,10,implant,sublaminar_wire,left,0.485,0.732,0.019,,,,,,,
t3,11,implant,sublaminar_wire,left,0.485,0.71,0.023,,,,,,,
t4,12,implant,sublaminar_wire,left,0.485,0.682,0.024,,,,,,,
t5,13,implant,sublaminar_wire,left,0.485,0.657,0.028,,,,,,,
t6,14,implant,sublaminar_wire,left,0.485,0.624,0.029,,,,,,,
t7,15,implant,sublaminar_wire,left,0.485,0.591,0.025,,,,,,,
t8,16,implant,sublaminar_wire,left,0.485,0.561,0.031,,,,,,,
t9,17,implant,sublaminar_wire,left,0.485,0.528,0.03,,,,,,,
t10,18,implant,sublaminar_wire,left,0.485,0.496,0.031,,,,,,,
t11,19,implant,sublaminar_wire,left,0.485,0.463,0.038,,,,,,,
t12,20,implant,sublaminar_wire,left,0.485,0.425,0.039,,,,,,,
l1,21,implant,sublaminar_wire,left,0.485,0.383,0.031,,,,,,,
l2,22,implant,sublaminar_wire,left,0.485,0.349,0.032,,,,,,,
l3,23,implant,sublaminar_wire,left,0.485,0.315,0.031,,,,,,,
l4,24,implant,sublaminar_wire,left,0.485,0.274,0.027,,,,,,,
l5,25,implant,sublaminar_wire,left,0.485,0.238,0.024,,,,,,,
t1,9,implant,pedicle_hook,left,0.475,0.754,,,,,,,,
t2,10,implant,pedicle_hook,left,0.475,0.73,,,,,,,,
t3,11,implant,pedicle_hook,left,0.475,0.709,,,,,,,,
t4,12,implant,pedicle_hook,left,0.475,0.679,,,,,,,,
t5,13,implant,pedicle_hook,left,0.475,0.653,,,,,,,,
t6,14,implant,pedicle_hook,left,0.475,0.623,,,,,,,,
t7,15,implant,pedicle_hook,left,0.475,0.591,,,,,,,,
t8,16,implant,pedicle_hook,left,0.475,0.561,,,,,,,,
t9,17,implant,pedicle_hook,left,0.475,0.529,,,,,,,,
t10,18,implant,pedicle_hook,left,0.475,0.492,,,,,,,,
t11,19,implant,pedicle_hook,left,0.475,0.453,,,,,,,,
t12,20,implant,pedicle_hook,left,0.475,0.423,,,,,,,,
t1,9,implant,pedicle_hook,right,0.525,0.754,,,,,,,,
t2,10,implant,pedicle_hook,right,0.525,0.73,,,,,,,,
t3,11,implant,pedicle_hook,right,0.525,0.709,,,,,,,,
t4,12,implant,pedicle_hook,right,0.525,0.679,,,,,,,,
t5,13,implant,pedicle_hook,right,0.525,0.653,,,,,,,,
t6,14,implant,pedicle_hook,right,0.525,0.623,,,,,,,,
t7,15,implant,pedicle_hook,right,0.525,0.591,,,,,,,,
t8,16,implant,pedicle_hook,right,0.525,0.561,,,,,,,,
t9,17,implant,pedicle_hook,right,0.525,0.529,,,,,,,,
t10,18,implant,pedicle_hook,right,0.525,0.492,,,,,,,,
t11,19,implant,pedicle_hook,right,0.525,0.453,,,,,,,,
t12,20,implant,pedicle_hook,right,0.525,0.423,,,,,,,,
c7,,osteotomy,grade_1,left,0.492,0.767,,,,Grade 1,0.478,0.767,0.492,0.76
t1,,osteotomy,grade_1,left,0.493,0.746,,,,Grade 1,0.481,0.746,0.493,0.738
t2,,osteotomy,grade_1,left,0.494,0.72,,,,Grade 1,0.481,0.72,0.494,0.714
t3,,osteotomy,grade_1,left,0.494,0.695,,,,Grade 1,0.481,0.695,0.494,0.689
t4,,osteotomy,grade_1,left,0.493,0.668,,,,Grade 1,0.481,0.668,0.493,0.658
t5,,osteotomy,grade_1,left,0.492,0.64,,,,Grade 1,0.481,0.64,0.492,0.628
t6,,osteotomy,grade_1,left,0.492,0.606,,,,Grade 1,0.48,0.606,0.492,0.595
t7,,osteotomy,grade_1,left,0.491,0.577,,,,Grade 1,0.479,0.577,0.491,0.566
t8,,osteotomy,grade_1,left,0.492,0.544,,,,Grade 1,0.476,0.544,0.492,0.529
t9,,osteotomy,grade_1,left,0.49,0.508,,,,Grade 1,0.477,0.508,0.49,0.498
t10,,osteotomy,grade_1,left,0.492,0.476,,,,Grade 1,0.478,0.476,0.492,0.465
t11,,osteotomy,grade_1,left,0.491,0.438,,,,Grade 1,0.478,0.438,0.491,0.425
t12,,osteotomy,grade_1,left,0.492,0.4,,,,Grade 1,0.483,0.4,0.492,0.385
l1,,osteotomy,grade_1,left,0.491,0.367,,,,Grade 1,0.483,0.367,0.491,0.352
l2,,osteotomy,grade_1,left,0.489,0.33,,,,Grade 1,0.478,0.33,0.489,0.314
l3,,osteotomy,grade_1,left,0.486,0.291,,,,Grade 1,0.474,0.291,0.486,0.278
l4,,osteotomy,grade_1,left,0.487,0.252,,,,Grade 1,0.476,0.252,0.487,0.241
