section,procedure_no_spine_region
Incision,"laminectomy with myelotomy (eg, ischof or rez type),"
Incision,laminectomy with drainage of intramedullary cyst/syrinx; to subarachnoid space
Incision,laminectomy with drainage of intramedullary cyst/syrinx; to peritoneal or pleural space
Incision,laminectomy with rhizotomy; 1 or 2 segments
Incision,laminectomy with rhizotomy; more than 2 segments
Incision,laminectomy with section of spinal accessory nerve
Incision,"laminectomy with cordotomy, with section of 1 spinothalamic tract, 1 stage"
Incision,"laminectomy with cordotomy, with section of both spinothalamic tracts, 1 stage"
Incision,"laminectomy with cordotomy with section of both spinothalamic tracts, 2 stages within 14 days"
Incision,"laminectomy, with release of tethered spinal cord"
Incision,laminectomy for excision or occlusion of arteriovenous malformation of spinal cord
Incision,"laminectomy for excision or evacuation of intraspinal lesion other than neoplasm, extradural"
Incision,"laminectomy for excision of intraspinal lesion other than neoplasm, intradural"
Incision,laminectomy for biopsy/excision of intraspinal neoplasm; extradural
Incision,"laminectomy for biopsy/excision of intra-spinal neoplasm; intradural, extramedullary"
Incision,laminectomy for biopsy/excision of intraspi-spinal oplasm; intradural
Incision,"laminectomy for biopsy/excision of intra-spinal neoplasm; intradural, intramedullary"
Incision,"laminectomy for biopsy/excision of intraspi-spinal neoplasm; combined extradural-intradural lesion, any level"
"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion","vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; extradural"
"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion","vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; extradural by transthoracic approach"
"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion","vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; extradural by thoracolumbar approach"
"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion","vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; extradural or by transperitoneal or retroperitoneal approach"
"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion","vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; intradural"
"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion","vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; intradural by transthoracic approach"
"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion","vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; intradural by thoracolumbar approach"
"Excision, Anterior or Anterolateral Approach, Intraspinal Lesion","vertebral corpectomy (vertebral body resection), partial or complete, for excision of intraspinal lesion, single segment; intradural or by transperitoneal or retroperitoneal approach"
Stereotaxis,"creation of lesion of spinal cord by stereotactic method, percutaneous, any modality (including stimulation and/or recording)"
Stereotaxis,"stereotactic stimulation of spinal cord, percutaneous, separate procedure not followed by other surgery"
Stereotactic Radiosurgery (Spinal),"stereotactic radiosurgery (particle beam, gamma ray, or linear accelerator); 1 spinal lesion"
Stereotactic Radiosurgery (Spinal),"percutaneous implantation of neurostimulator electrode array, epidural"
Stereotactic Radiosurgery (Spinal),"laminectomy for implantation of neurostimulator electrodes, plate/paddle, epidural"
Stereotactic Radiosurgery (Spinal),"removal of spinal neurostimulator electrode percutaneous array(s), including fluoroscopy, when performed"
Stereotactic Radiosurgery (Spinal),"removal of spinal neurostimulator electrode plate/paddle(s) placed via laminotomy or laminectomy, including fluoroscopy, when performed"
Stereotactic Radiosurgery (Spinal),"revision including replacement, when performed, of spinal neurostimulator electrode percutaneous array(s), including fluoroscopy, when performed"
Stereotactic Radiosurgery (Spinal),"revision including replacement, when performed, of spinal neurostimulator electrode plate/paddle(s) placed via laminotomy or laminectomy, including fluoroscopy, when performed"
Stereotactic Radiosurgery (Spinal),"insertion or replacement of spinal neurostimulator pulse generator or receiver, direct or inductive coupling"
Stereotactic Radiosurgery (Spinal),revision or removal of implanted spinal neurostimulator pulse generator or receiver
Repair,repair of meningocele; less than 5 cm diameter
Repair,repair of meningocele; larger than 5 cm diameter
Repair,repair of myelomeningocele; less than 5 cm diameter
Repair,repair of myelomeningocele; larger than 5 cm diameter
Repair,"repair of dural/cerebrospinal fluid leak, not requiring laminectomy"
Repair,"repair of dural/cerebrospinal fluid leak or pseudomeningocele, with laminectomy"
Repair,"dural graft, spinal"
Repair,"creation of shunt, subarachnoid-peritoneal, -pleural, or other; including laminectomy"
Repair,"creation of shunt, subarachnoid-peritoneal, -pleural, or other; percutaneous, not requiring laminectomy"
Repair,"replacement, irrigation or revision of lumbosubarachnoid shunt"
Repair,removal of entire lumbosubarachnoid shunt system without replacement
