object,label,level,cpt_code,cpt_description,modified_no_implant_cpt_code,modified_no_implant_cpt_description,modified_number_of_levels_cpt_code,modified_number_of_levels_cpt_description
laminar_downgoing_hook,Posterior spinal instrumentation,thoracic, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,cervical, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,odontoid, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,c1_c2, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,unspecified, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,modified_by_dx, , ,,,,
laminar_upgoing_hook,Posterior spinal instrumentation,sacral, , ,,,,
laminar_upgoing_hook,Posterior spinal instrumentation,l5_s1, , ,,,,
laminar_upgoing_hook,Posterior spinal instrumentation,lumbar, , ,,,,
laminar_upgoing_hook,Posterior spinal instrumentation,thoracic, , ,,,,
laminar_upgoing_hook,Posterior spinal instrumentation,cervical, , ,,,,
laminar_upgoing_hook,Posterior spinal instrumentation,odontoid, , ,,,,
laminar_upgoing_hook,Posterior spinal instrumentation,c1_c2, , ,,,,
laminar_upgoing_hook,Posterior spinal instrumentation,unspecified, , ,,,,
laminar_upgoing_hook,Posterior spinal instrumentation,modified_by_dx, , ,,,,
lateral_mass_screw,Posterior spinal instrumentation,sacral, , ,,,,
lateral_mass_screw,Posterior spinal instrumentation,l5_s1, , ,,,,
lateral_mass_screw,Posterior spinal instrumentation,lumbar, , ,,,,
lateral_mass_screw,Posterior spinal instrumentation,thoracic, , ,,,,
lateral_mass_screw,Posterior spinal instrumentation,cervical, , ,,,,
lateral_mass_screw,Posterior spinal instrumentation,odontoid, , ,,,,
lateral_mass_screw,Posterior spinal instrumentation,c1_c2, , ,,,,
lateral_mass_screw,Posterior spinal instrumentation,unspecified, , ,,,,
lateral_mass_screw,Posterior spinal instrumentation,modified_by_dx, , ,,,,
occipital_screw,Occiput instrumentation,sacral, , ,,,,
occipital_screw,Occiput instrumentation,l5_s1, , ,,,,
occipital_screw,Occiput instrumentation,lumbar, , ,,,,
occipital_screw,Occiput instrumentation,thoracic, , ,,,,
occipital_screw,Occiput instrumentation,cervical, , ,,,,
occipital_screw,Occiput instrumentation,odontoid, , ,,,,
occipital_screw,Occiput instrumentation,c1_c2, , ,,,,
occipital_screw,Occiput instrumentation,unspecified, , ,,,,
occipital_screw,Occiput instrumentation,modified_by_dx, , ,,,,
pars_screw,Posterior spinal instrumentation,sacral, , ,,,,
pars_screw,Posterior spinal instrumentation,l5_s1, , ,,,,
pars_screw,Posterior spinal instrumentation,lumbar, , ,,,,
pars_screw,Posterior spinal instrumentation,thoracic, , ,,,,
pars_screw,Posterior spinal instrumentation,cervical, , ,,,,
pars_screw,Posterior spinal instrumentation,odontoid, , ,,,,
pars_screw,Posterior spinal instrumentation,c1_c2, , ,,,,
pars_screw,Posterior spinal instrumentation,unspecified, , ,,,,
pars_screw,Posterior spinal instrumentation,modified_by_dx, , ,,,,
pedicle_hook,Posterior spinal instrumentation,sacral, , ,,,,
pedicle_hook,Posterior spinal instrumentation,l5_s1, , ,,,,
pedicle_hook,Posterior spinal instrumentation,lumbar, , ,,,,
pedicle_hook,Posterior spinal instrumentation,thoracic, , ,,,,
pedicle_hook,Posterior spinal instrumentation,cervical, , ,,,,
pedicle_hook,Posterior spinal instrumentation,odontoid, , ,,,,
pedicle_hook,Posterior spinal instrumentation,c1_c2, , ,,,,
pedicle_hook,Posterior spinal instrumentation,unspecified, , ,,,,
pedicle_hook,Posterior spinal instrumentation,modified_by_dx, , ,,,,
pedicle_screw,Posterior spinal instrumentation,sacral, , ,,,,
pedicle_screw,Posterior spinal instrumentation,l5_s1, , ,,,,
pedicle_screw,Posterior spinal instrumentation,lumbar, , ,,,,
pedicle_screw,Posterior spinal instrumentation,thoracic, , ,,,,
pedicle_screw,Posterior spinal instrumentation,cervical, , ,,,,
pedicle_screw,Posterior spinal instrumentation,odontoid, , ,,,,
pedicle_screw,Posterior spinal instrumentation,c1_c2, , ,,,,
pedicle_screw,Posterior spinal instrumentation,unspecified, , ,,,,
pedicle_screw,Posterior spinal instrumentation,modified_by_dx, , ,,,,
crosslink,Posterior spinal instrumentation,sacral, , ,,,,
crosslink,Posterior spinal instrumentation,l5_s1, , ,,,,
crosslink,Posterior spinal instrumentation,lumbar, , ,,,,
crosslink,Posterior spinal instrumentation,thoracic, , ,,,,
crosslink,Posterior spinal instrumentation,cervical, , ,,,,
crosslink,Posterior spinal instrumentation,odontoid, , ,,,,
crosslink,Posterior spinal instrumentation,c1_c2, , ,,,,
crosslink,Posterior spinal instrumentation,unspecified, , ,,,,
crosslink,Posterior spinal instrumentation,modified_by_dx, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,sacral, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,l5_s1, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,lumbar, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,thoracic, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,cervical, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,odontoid, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,c1_c2, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,unspecified, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,modified_by_dx, , ,,,,
sublaminar_wire,Posterior spinal instrumentation,sacral, , ,,,,
sublaminar_wire,Posterior spinal instrumentation,l5_s1, , ,,,,
sublaminar_wire,Posterior spinal instrumentation,lumbar, , ,,,,
sublaminar_wire,Posterior spinal instrumentation,thoracic, , ,,,,
sublaminar_wire,Posterior spinal instrumentation,cervical, , ,,,,
sublaminar_wire,Posterior spinal instrumentation,odontoid, , ,,,,
sublaminar_wire,Posterior spinal instrumentation,c1_c2, , ,,,,
sublaminar_wire,Posterior spinal instrumentation,unspecified, , ,,,,
sublaminar_wire,Posterior spinal instrumentation,modified_by_dx, , ,,,,
tp_hook,Posterior spinal instrumentation,sacral, , ,,,,
tp_hook,Posterior spinal instrumentation,l5_s1, , ,,,,
tp_hook,Posterior spinal instrumentation,lumbar, , ,,,,
tp_hook,Posterior spinal instrumentation,thoracic, , ,,,,
tp_hook,Posterior spinal instrumentation,cervical, , ,,,,
tp_hook,Posterior spinal instrumentation,odontoid, , ,,,,
tp_hook,Posterior spinal instrumentation,c1_c2, , ,,,,
tp_hook,Posterior spinal instrumentation,unspecified, , ,,,,
tp_hook,Posterior spinal instrumentation,modified_by_dx, , ,,,,
translaminar_screw,Posterior spinal instrumentation,sacral, , ,,,,
translaminar_screw,Posterior spinal instrumentation,l5_s1, , ,,,,
translaminar_screw,Posterior spinal instrumentation,lumbar, , ,,,,
translaminar_screw,Posterior spinal instrumentation,thoracic, , ,,,,
translaminar_screw,Posterior spinal instrumentation,cervical, , ,,,,
translaminar_screw,Posterior spinal instrumentation,odontoid, , ,,,,
translaminar_screw,Posterior spinal instrumentation,c1_c2, , ,,,,
translaminar_screw,Posterior spinal instrumentation,unspecified, , ,,,,
translaminar_screw,Posterior spinal instrumentation,modified_by_dx, , ,,,,
pelvic_screw,Pelvic instrumentation,sacral, , ,,,,
pelvic_screw,Pelvic instrumentation,l5_s1, , ,,,,
pelvic_screw,Pelvic instrumentation,lumbar, , ,,,,
pelvic_screw,Pelvic instrumentation,thoracic, , ,,,,
pelvic_screw,Pelvic instrumentation,cervical, , ,,,,
pelvic_screw,Pelvic instrumentation,odontoid, , ,,,,
pelvic_screw,Pelvic instrumentation,c1_c2, , ,,,,
pelvic_screw,Pelvic instrumentation,unspecified, , ,,,,
pelvic_screw,Pelvic instrumentation,modified_by_dx, , ,,,,
pelvic_screw_1,Pelvic instrumentation,sacral, , ,,,,
pelvic_screw_1,Pelvic instrumentation,l5_s1, , ,,,,
pelvic_screw_1,Pelvic instrumentation,lumbar, , ,,,,
pelvic_screw_1,Pelvic instrumentation,thoracic, , ,,,,
pelvic_screw_1,Pelvic instrumentation,cervical, , ,,,,
pelvic_screw_1,Pelvic instrumentation,odontoid, , ,,,,
pelvic_screw_1,Pelvic instrumentation,c1_c2, , ,,,,
pelvic_screw_1,Pelvic instrumentation,unspecified, , ,,,,
pelvic_screw_1,Pelvic instrumentation,modified_by_dx, , ,,,,
pelvic_screw_2,Pelvic instrumentation,sacral, , ,,,,
pelvic_screw_2,Pelvic instrumentation,l5_s1, , ,,,,
pelvic_screw_2,Pelvic instrumentation,lumbar, , ,,,,
pelvic_screw_2,Pelvic instrumentation,thoracic, , ,,,,
pelvic_screw_2,Pelvic instrumentation,cervical, , ,,,,
pelvic_screw_2,Pelvic instrumentation,odontoid, , ,,,,
pelvic_screw_2,Pelvic instrumentation,c1_c2, , ,,,,
pelvic_screw_2,Pelvic instrumentation,unspecified, , ,,,,
pelvic_screw_2,Pelvic instrumentation,modified_by_dx, , ,,,,
tether,Spinous process posterior tethering/wiring,sacral, , ,,,,
tether,Spinous process posterior tethering/wiring,l5_s1, , ,,,,
tether,Spinous process posterior tethering/wiring,lumbar, , ,,,,
tether,Spinous process posterior tethering/wiring,thoracic, , ,,,,
tether,Spinous process posterior tethering/wiring,cervical, , ,,,,
tether,Spinous process posterior tethering/wiring,odontoid, , ,,,,
tether,Spinous process posterior tethering/wiring,c1_c2, , ,,,,
tether,Spinous process posterior tethering/wiring,unspecified, , ,,,,
tether,Spinous process posterior tethering/wiring,modified_by_dx, , ,,,,
costovertebral_approach,Decompression using a costovertebral approach,sacral, , ,,,,
costovertebral_approach,Decompression using a costovertebral approach,l5_s1, , ,,,,
costovertebral_approach,Decompression using a costovertebral approach,lumbar, , ,,,,
costovertebral_approach,Decompression using a costovertebral approach,thoracic,63064,"costovertebral approach with decompression of spinal cord or nerve root(s) (eg, herniated intervertebral disc), thoracic; single segment",,,,
costovertebral_approach,Decompression using a costovertebral approach,cervical, , ,,,,
costovertebral_approach,Decompression using a costovertebral approach,odontoid, , ,,,,
costovertebral_approach,Decompression using a costovertebral approach,c1_c2, , ,,,,
costovertebral_approach,Decompression using a costovertebral approach,unspecified, , ,,,,
costovertebral_approach,Decompression using a costovertebral approach,modified_by_dx, , ,,,,
revision_costovertebral_approach,Reexploration and revision decompression using a costovertebral approach,sacral, , ,,,,
revision_costovertebral_approach,Reexploration and revision decompression using a costovertebral approach,l5_s1, , ,,,,
revision_costovertebral_approach,Reexploration and revision decompression using a costovertebral approach,lumbar, , ,,,,
revision_costovertebral_approach,Reexploration and revision decompression using a costovertebral approach,thoracic, , ,,,,
revision_costovertebral_approach,Reexploration and revision decompression using a costovertebral approach,cervical, , ,,,,
revision_costovertebral_approach,Reexploration and revision decompression using a costovertebral approach,odontoid, , ,,,,
revision_costovertebral_approach,Reexploration and revision decompression using a costovertebral approach,c1_c2, , ,,,,
revision_costovertebral_approach,Reexploration and revision decompression using a costovertebral approach,unspecified, , ,,,,
revision_costovertebral_approach,Reexploration and revision decompression using a costovertebral approach,modified_by_dx, , ,,,,
transpedicular_approach,Decompression using a transpedicular approach,sacral,63056,"transpedicular approach with decompression of spinal cord, equina and/or nerve root(s) (eg, herniated intervertebral disc), single segment; lumbar (including transfacet, or lateral extraforaminal approach) (eg, far lateral herniated intervertebral disc)",,,,
transpedicular_approach,Decompression using a transpedicular approach,l5_s1,63056,"transpedicular approach with decompression of spinal cord, equina and/or nerve root(s) (eg, herniated intervertebral disc), single segment; lumbar (including transfacet, or lateral extraforaminal approach) (eg, far lateral herniated intervertebral disc)",,,,
transpedicular_approach,Decompression using a transpedicular approach,lumbar,63056,"transpedicular approach with decompression of spinal cord, equina and/or nerve root(s) (eg, herniated intervertebral disc), single segment; lumbar (including transfacet, or lateral extraforaminal approach) (eg, far lateral herniated intervertebral disc)",,,,
transpedicular_approach,Decompression using a transpedicular approach,thoracic,63055,"transpedicular approach with decompression of spinal cord, equina and/or nerve root(s) (eg, herniated intervertebral disc), single segment; thoracic",,,,
transpedicular_approach,Decompression using a transpedicular approach,cervical, , ,,,,
transpedicular_approach,Decompression using a transpedicular approach,odontoid, , ,,,,
transpedicular_approach,Decompression using a transpedicular approach,c1_c2, , ,,,,
transpedicular_approach,Decompression using a transpedicular approach,unspecified, , ,,,,
transpedicular_approach,Decompression using a transpedicular approach,modified_by_dx, , ,,,,
lateral_extraforaminal_approach,Decompression using a lateral extraforaminl approach,sacral,63056,"transpedicular approach with decompression of spinal cord, equina and/or nerve root(s) (eg, herniated intervertebral disc), single segment; lumbar (including transfacet, or lateral extraforaminal approach) (eg, far lateral herniated intervertebral disc)",,,,
lateral_extraforaminal_approach,Decompression using a lateral extraforaminl approach,l5_s1,63056,"transpedicular approach with decompression of spinal cord, equina and/or nerve root(s) (eg, herniated intervertebral disc), single segment; lumbar (including transfacet, or lateral extraforaminal approach) (eg, far lateral herniated intervertebral disc)",,,,
lateral_extraforaminal_approach,Decompression using a lateral extraforaminl approach,lumbar,63056,"transpedicular approach with decompression of spinal cord, equina and/or nerve root(s) (eg, herniated intervertebral disc), single segment; lumbar (including transfacet, or lateral extraforaminal approach) (eg, far lateral herniated intervertebral disc)",,,,
lateral_extracavitary_approach,Decompression using a modified lateral extracavitary approach,sacral, , ,,,,
lateral_extracavitary_approach,Decompression using a modified lateral extracavitary approach,l5_s1,22533,"arthrodesis, lateral extracavitary technique, including minimal discectomy to prepare interspace (other than for decompression); lumbar",,,,
lateral_extracavitary_approach,Decompression using a modified lateral extracavitary approach,lumbar,22533,"arthrodesis, lateral extracavitary technique, including minimal discectomy to prepare interspace (other than for decompression); lumbar",,,,
lateral_extracavitary_approach,Decompression using a modified lateral extracavitary approach,thoracic,22532,"arthrodesis, lateral extracavitary technique, including minimal discectomy to prepare interspace (other than for decompression); thoracic",,,,
lateral_extracavitary_approach,Decompression using a modified lateral extracavitary approach,cervical, , ,,,,
lateral_extracavitary_approach,Decompression using a modified lateral extracavitary approach,odontoid, , ,,,,
lateral_extracavitary_approach,Decompression using a modified lateral extracavitary approach,c1_c2, , ,,,,
lateral_extracavitary_approach,Decompression using a modified lateral extracavitary approach,unspecified, , ,,,,
lateral_extracavitary_approach,Decompression using a modified lateral extracavitary approach,modified_by_dx, , ,,,,
corpectomy_extracavitary_tumor,Partial Corpectomy with decompression using a modified lateral extracavitary approach for tumor,sacral, , ,,,,
corpectomy_extracavitary_tumor,Partial Corpectomy with decompression using a modified lateral extracavitary approach for tumor,l5_s1, , ,,,,
corpectomy_extracavitary_tumor,Partial Corpectomy with decompression using a modified lateral extracavitary approach for tumor,lumbar, , ,,,,
corpectomy_extracavitary_tumor,Partial Corpectomy with decompression using a modified lateral extracavitary approach for tumor,thoracic, , ,,,,
corpectomy_extracavitary_tumor,Partial Corpectomy with decompression using a modified lateral extracavitary approach for tumor,cervical, , ,,,,
corpectomy_extracavitary_tumor,Partial Corpectomy with decompression using a modified lateral extracavitary approach for tumor,odontoid, , ,,,,
corpectomy_extracavitary_tumor,Partial Corpectomy with decompression using a modified lateral extracavitary approach for tumor,c1_c2, , ,,,,
corpectomy_extracavitary_tumor,Partial Corpectomy with decompression using a modified lateral extracavitary approach for tumor,unspecified, , ,,,,
corpectomy_extracavitary_tumor,Partial Corpectomy with decompression using a modified lateral extracavitary approach for tumor,modified_by_dx, , ,,,,
laminectomy_for_tumor,Laminectomy for biopsy and excision of extradural spinal tumor,sacral, , ,,,,
laminectomy_for_tumor,Laminectomy for biopsy and excision of extradural spinal tumor,l5_s1, , ,,,,
laminectomy_for_tumor,Laminectomy for biopsy and excision of extradural spinal tumor,lumbar, , ,,,,
laminectomy_for_tumor,Laminectomy for biopsy and excision of extradural spinal tumor,thoracic, , ,,,,
laminectomy_for_tumor,Laminectomy for biopsy and excision of extradural spinal tumor,cervical, , ,,,,
laminectomy_for_tumor,Laminectomy for biopsy and excision of extradural spinal tumor,odontoid, , ,,,,
laminectomy_for_tumor,Laminectomy for biopsy and excision of extradural spinal tumor,c1_c2, , ,,,,
laminectomy_for_tumor,Laminectomy for biopsy and excision of extradural spinal tumor,unspecified, , ,,,,
laminectomy_for_tumor,Laminectomy for biopsy and excision of extradural spinal tumor,modified_by_dx, , ,,,,
revision_transpedicular_approach,Reexploration and revision decompression using a transpedicular approach,sacral, , ,,,,
revision_transpedicular_approach,Reexploration and revision decompression using a transpedicular approach,l5_s1, , ,,,,
revision_transpedicular_approach,Reexploration and revision decompression using a transpedicular approach,lumbar, , ,,,,
revision_transpedicular_approach,Reexploration and revision decompression using a transpedicular approach,thoracic, , ,,,,
revision_transpedicular_approach,Reexploration and revision decompression using a transpedicular approach,cervical, , ,,,,
revision_transpedicular_approach,Reexploration and revision decompression using a transpedicular approach,odontoid, , ,,,,
revision_transpedicular_approach,Reexploration and revision decompression using a transpedicular approach,c1_c2, , ,,,,
revision_transpedicular_approach,Reexploration and revision decompression using a transpedicular approach,unspecified, , ,,,,
revision_transpedicular_approach,Reexploration and revision decompression using a transpedicular approach,modified_by_dx, , ,,,,
diskectomy,Decompression with diskectomy and laminotomy,sacral,63030,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar",,,,
diskectomy,Decompression with diskectomy and laminotomy,l5_s1,63030,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar",,,,
diskectomy,Decompression with diskectomy and laminotomy,lumbar,63030,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar",,,,
diskectomy,Decompression with diskectomy and laminotomy,thoracic,63030,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar",,,,
diskectomy,Decompression with diskectomy and laminotomy,cervical,63020,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, cervical",,,,
diskectomy,Decompression with diskectomy and laminotomy,odontoid,63020,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, cervical",,,,
diskectomy,Decompression with diskectomy and laminotomy,c1_c2,63020,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, cervical",,,,
diskectomy,Decompression with diskectomy and laminotomy,unspecified, , ,,,,
diskectomy,Decompression with diskectomy and laminotomy,modified_by_dx, , ,,,,
sublaminar_decompression,"Decompression with bilateral partial laminectomies, foraminotomies, and medial facetectomies",sacral, , ,,,,
sublaminar_decompression,"Decompression with bilateral partial laminectomies, foraminotomies, and medial facetectomies",l5_s1, , ,,,,
sublaminar_decompression,"Decompression with bilateral partial laminectomies, foraminotomies, and medial facetectomies",lumbar, , ,,,,
sublaminar_decompression,"Decompression with bilateral partial laminectomies, foraminotomies, and medial facetectomies",thoracic, , ,,,,
sublaminar_decompression,"Decompression with bilateral partial laminectomies, foraminotomies, and medial facetectomies",cervical, , ,,,,
sublaminar_decompression,"Decompression with bilateral partial laminectomies, foraminotomies, and medial facetectomies",odontoid, , ,,,,
sublaminar_decompression,"Decompression with bilateral partial laminectomies, foraminotomies, and medial facetectomies",c1_c2, , ,,,,
sublaminar_decompression,"Decompression with bilateral partial laminectomies, foraminotomies, and medial facetectomies",unspecified, , ,,,,
sublaminar_decompression,"Decompression with bilateral partial laminectomies, foraminotomies, and medial facetectomies",modified_by_dx, , ,,,,
laminectomy,Decompression with central laminectomy,sacral,63011,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; sacral",,,,
laminectomy,Decompression with central laminectomy,l5_s1,63005,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; lumbar, except for spondylolisthesis",,,63017,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), more than 2 vertebral segments; lumbar"
laminectomy,Decompression with central laminectomy,lumbar,63005,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; lumbar, except for spondylolisthesis",,,63017,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), more than 2 vertebral segments; lumbar"
laminectomy,Decompression with central laminectomy,thoracic,63003,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; thoracic",,,63016,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), more than 2 vertebral segments; thoracic"
laminectomy,Decompression with central laminectomy,cervical,63001,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; cervical",,,63015,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), more than 2 vertebral segments; cervical"
laminectomy,Decompression with central laminectomy,odontoid,63001,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; cervical",,,63015,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), more than 2 vertebral segments; cervical"
laminectomy,Decompression with central laminectomy,c1_c2,63001,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; cervical",,,63015,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), more than 2 vertebral segments; cervical"
laminectomy,Decompression with central laminectomy,unspecified, , ,,,,
laminectomy,Decompression with central laminectomy,modified_by_dx,63012,"laminectomy with removal of abnormal facets and/or pars inter-articularis with decompression of cauda equina and nerve roots for spondylolisthesis, lumbar (Gill type procedure)",,,,
laminotomy,Decompression with laminotomy and medial facetectomy,sacral,63030,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar",,,,
laminotomy,Decompression with laminotomy and medial facetectomy,l5_s1,63030,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar",,,,
laminotomy,Decompression with laminotomy and medial facetectomy,lumbar,63030,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar",,,,
laminotomy,Decompression with laminotomy and medial facetectomy,thoracic,63030,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar",,,,
laminotomy,Decompression with laminotomy and medial facetectomy,cervical,63020,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, cervical",,,,
laminotomy,Decompression with laminotomy and medial facetectomy,odontoid,63020,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, cervical",,,,
laminotomy,Decompression with laminotomy and medial facetectomy,c1_c2,,,,,,
laminotomy,Decompression with laminotomy and medial facetectomy,unspecified, , ,,,,
laminotomy,Decompression with laminotomy and medial facetectomy,modified_by_dx, , ,,,,
revision_diskectomy,Reexploration and revision decompression with diskectomy and laminotomy,sacral,63040,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; lumbar",,,,
revision_diskectomy,Reexploration and revision decompression with diskectomy and laminotomy,l5_s1,63040,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; lumbar",,,,
revision_diskectomy,Reexploration and revision decompression with diskectomy and laminotomy,lumbar,63040,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; lumbar",,,,
