icd10_code,three_digit,long_desc,major,sub_chapter,chapter
S12.150B,S12,"Other traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.150S,S12,"Other traumatic displaced spondylolisthesis of second cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.151A,S12,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.151B,S12,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.151S,S12,"Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.190A,S12,"Other displaced fracture of second cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.190B,S12,"Other displaced fracture of second cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.190S,S12,"Other displaced fracture of second cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.191A,S12,"Other nondisplaced fracture of second cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.191B,S12,"Other nondisplaced fracture of second cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.191S,S12,"Other nondisplaced fracture of second cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.200A,S12,"Unspecified displaced fracture of third cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.200B,S12,"Unspecified displaced fracture of third cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.200S,S12,"Unspecified displaced fracture of third cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.201A,S12,"Unspecified nondisplaced fracture of third cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.201B,S12,"Unspecified nondisplaced fracture of third cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.201S,S12,"Unspecified nondisplaced fracture of third cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.230A,S12,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.230B,S12,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.230S,S12,"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.231A,S12,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.231B,S12,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.231S,S12,"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.24XA,S12,"Type III traumatic spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.24XB,S12,"Type III traumatic spondylolisthesis of third cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.24XS,S12,"Type III traumatic spondylolisthesis of third cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.250A,S12,"Other traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.250B,S12,"Other traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.250S,S12,"Other traumatic displaced spondylolisthesis of third cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.251A,S12,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.251B,S12,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.251S,S12,"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.290A,S12,"Other displaced fracture of third cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.290B,S12,"Other displaced fracture of third cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.290S,S12,"Other displaced fracture of third cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.291A,S12,"Other nondisplaced fracture of third cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.291B,S12,"Other nondisplaced fracture of third cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.291S,S12,"Other nondisplaced fracture of third cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.300A,S12,"Unspecified displaced fracture of fourth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.300B,S12,"Unspecified displaced fracture of fourth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.300S,S12,"Unspecified displaced fracture of fourth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.301A,S12,"Unspecified nondisplaced fracture of fourth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.301B,S12,"Unspecified nondisplaced fracture of fourth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.301S,S12,"Unspecified nondisplaced fracture of fourth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.330A,S12,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.330B,S12,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.330S,S12,"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.331A,S12,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.331B,S12,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.331S,S12,"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.34XA,S12,"Type III traumatic spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.34XB,S12,"Type III traumatic spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.34XS,S12,"Type III traumatic spondylolisthesis of fourth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.350A,S12,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.350B,S12,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.350S,S12,"Other traumatic displaced spondylolisthesis of fourth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.351A,S12,"Other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.351B,S12,"Other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.351S,S12,"Other traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.390A,S12,"Other displaced fracture of fourth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.390B,S12,"Other displaced fracture of fourth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.390S,S12,"Other displaced fracture of fourth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.391A,S12,"Other nondisplaced fracture of fourth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.391B,S12,"Other nondisplaced fracture of fourth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.391S,S12,"Other nondisplaced fracture of fourth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.400A,S12,"Unspecified displaced fracture of fifth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.400B,S12,"Unspecified displaced fracture of fifth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.400S,S12,"Unspecified displaced fracture of fifth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.401A,S12,"Unspecified nondisplaced fracture of fifth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.401B,S12,"Unspecified nondisplaced fracture of fifth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.401S,S12,"Unspecified nondisplaced fracture of fifth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.430A,S12,"Unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.430B,S12,"Unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.430S,S12,"Unspecified traumatic displaced spondylolisthesis of fifth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.431A,S12,"Unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.431B,S12,"Unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.431S,S12,"Unspecified traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.44XA,S12,"Type III traumatic spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.44XB,S12,"Type III traumatic spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.44XS,S12,"Type III traumatic spondylolisthesis of fifth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.450A,S12,"Other traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.450B,S12,"Other traumatic displaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.450S,S12,"Other traumatic displaced spondylolisthesis of fifth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.451A,S12,"Other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.451B,S12,"Other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.451S,S12,"Other traumatic nondisplaced spondylolisthesis of fifth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.490A,S12,"Other displaced fracture of fifth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.490B,S12,"Other displaced fracture of fifth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.490S,S12,"Other displaced fracture of fifth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.491A,S12,"Other nondisplaced fracture of fifth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.491B,S12,"Other nondisplaced fracture of fifth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.491S,S12,"Other nondisplaced fracture of fifth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.500A,S12,"Unspecified displaced fracture of sixth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.500B,S12,"Unspecified displaced fracture of sixth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.500S,S12,"Unspecified displaced fracture of sixth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.501A,S12,"Unspecified nondisplaced fracture of sixth cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.501B,S12,"Unspecified nondisplaced fracture of sixth cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.501S,S12,"Unspecified nondisplaced fracture of sixth cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
