spine_category,category_number,site,site_cervical,site_thoracic,site_lumbar,diagnosis,icd10_code,three_digit,chapter,sub_chapter,major,dx_lower,site_number
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Connective tissue stenosis of neural canal of sacral region,M99.44,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",connective tissue stenosis of neural canal of sacral region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Connective tissue stenosis of neural canal of pelvic region,M99.45,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",connective tissue stenosis of neural canal of pelvic region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Intervertebral disc stenosis of neural canal of lumbar region,M99.53,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",intervertebral disc stenosis of neural canal of lumbar region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Intervertebral disc stenosis of neural canal of sacral region,M99.54,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",intervertebral disc stenosis of neural canal of sacral region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Intervertebral disc stenosis of neural canal of pelvic region,M99.55,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",intervertebral disc stenosis of neural canal of pelvic region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Osseous and subluxation stenosis of intervertebral foramina of lumbar region,M99.63,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",osseous and subluxation stenosis of intervertebral foramina of lumbar region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Osseous and subluxation stenosis of intervertebral foramina of sacral region,M99.64,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",osseous and subluxation stenosis of intervertebral foramina of sacral region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Osseous and subluxation stenosis of intervertebral foramina of pelvic region,M99.65,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",osseous and subluxation stenosis of intervertebral foramina of pelvic region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Connective tissue and disc stenosis of intervertebral foramina of lumbar region,M99.73,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",connective tissue and disc stenosis of intervertebral foramina of lumbar region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Connective tissue and disc stenosis of intervertebral foramina of sacral region,M99.74,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",connective tissue and disc stenosis of intervertebral foramina of sacral region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Connective tissue and disc stenosis of intervertebral foramina of pelvic region,M99.75,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",connective tissue and disc stenosis of intervertebral foramina of pelvic region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Other biomechanical lesions of lumbar region,M99.83,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",other biomechanical lesions of lumbar region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Lumbosacral plexus disorders,G54.1,G54,Diseases of the nervous system,"Nerve, Nerve Root And Plexus Disorders",Nerve root and plexus disorders,lumbosacral plexus disorders,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Lumbosacral root disorders, not elsewhere classified",G54.4,G54,Diseases of the nervous system,"Nerve, Nerve Root And Plexus Disorders",Nerve root and plexus disorders,"lumbosacral root disorders, not elsewhere classified",1
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Spinal stenosis, thoracolumbar region",M48.05,M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Other spondylopathies,"spinal stenosis, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Kissing spine, thoracolumbar region",M48.25,M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Other spondylopathies,"kissing spine, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Other specified spondylopathies, thoracolumbar region",M48.8X5,M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Other spondylopathies,"other specified spondylopathies, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Anterior spinal artery compression syndromes, thoracolumbar region",M47.015,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"anterior spinal artery compression syndromes, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Other spondylosis with myelopathy, thoracolumbar region",M47.15,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"other spondylosis with myelopathy, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Other spondylosis with radiculopathy, thoracolumbar region",M47.25,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"other spondylosis with radiculopathy, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Spondylosis without myelopathy or radiculopathy, thoracolumbar region",M47.815,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"spondylosis without myelopathy or radiculopathy, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Other spondylosis, thoracolumbar region",M47.895,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"other spondylosis, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Spondylopathy in diseases classified elsewhere, thoracolumbar region",M49.85,M49,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylopathies in diseases classified elsewhere,"spondylopathy in diseases classified elsewhere, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Intervertebral disc disorders with myelopathy, thoracolumbar region",M51.05,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","intervertebral disc disorders with myelopathy, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Intervertebral disc disorders with radiculopathy, thoracolumbar region",M51.15,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","intervertebral disc disorders with radiculopathy, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Other intervertebral disc displacement, thoracolumbar region",M51.25,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","other intervertebral disc displacement, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Other intervertebral disc degeneration, thoracolumbar region",M51.35,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","other intervertebral disc degeneration, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Schmorl's nodes, thoracolumbar region",M51.45,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","schmorl's nodes, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Other intervertebral disc disorders, thoracolumbar region",M51.85,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","other intervertebral disc disorders, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,"Radiculopathy, thoracolumbar region",M54.15,M54,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,Dorsalgia,"radiculopathy, thoracolumbar region",2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,Subluxation complex (vertebral) of abdomen and other regions,M99.19,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",subluxation complex (vertebral) of abdomen and other regions,2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,Subluxation stenosis of neural canal of abdomen and other regions,M99.29,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",subluxation stenosis of neural canal of abdomen and other regions,2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,Osseous stenosis of neural canal of abdomen and other regions,M99.39,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",osseous stenosis of neural canal of abdomen and other regions,2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,Connective tissue stenosis of neural canal of abdomen and other regions,M99.49,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",connective tissue stenosis of neural canal of abdomen and other regions,2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,Intervertebral disc stenosis of neural canal of abdomen and other regions,M99.59,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",intervertebral disc stenosis of neural canal of abdomen and other regions,2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,Osseous and subluxation stenosis of intervertebral foramina of abdomen and other regions,M99.69,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",osseous and subluxation stenosis of intervertebral foramina of abdomen and other regions,2
Degenerative,1,thoracolumbar,FALSE,TRUE,TRUE,Connective tissue and disc stenosis of intervertebral foramina of abdomen and other regions,M99.79,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",connective tissue and disc stenosis of intervertebral foramina of abdomen and other regions,2
Degenerative,1,thoracic,FALSE,TRUE,FALSE,"Spinal stenosis, thoracic region",M48.04,M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Other spondylopathies,"spinal stenosis, thoracic region",3
Degenerative,1,thoracic,FALSE,TRUE,FALSE,"Kissing spine, thoracic region",M48.24,M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Other spondylopathies,"kissing spine, thoracic region",3
Degenerative,1,thoracic,FALSE,TRUE,FALSE,"Other specified spondylopathies, thoracic region",M48.8X4,M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Other spondylopathies,"other specified spondylopathies, thoracic region",3
Degenerative,1,thoracic,FALSE,TRUE,FALSE,"Anterior spinal artery compression syndromes, thoracic region",M47.014,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"anterior spinal artery compression syndromes, thoracic region",3
Degenerative,1,thoracic,FALSE,TRUE,FALSE,"Other spondylosis with myelopathy, thoracic region",M47.14,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"other spondylosis with myelopathy, thoracic region",3
Degenerative,1,thoracic,FALSE,TRUE,FALSE,"Other spondylosis with radiculopathy, thoracic region",M47.24,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"other spondylosis with radiculopathy, thoracic region",3
Degenerative,1,thoracic,FALSE,TRUE,FALSE,"Spondylosis without myelopathy or radiculopathy, thoracic region",M47.814,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"spondylosis without myelopathy or radiculopathy, thoracic region",3
Degenerative,1,thoracic,FALSE,TRUE,FALSE,"Other spondylosis, thoracic region",M47.894,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"other spondylosis, thoracic region",3
Degenerative,1,thoracic,FALSE,TRUE,FALSE,"Spondylopathy in diseases classified elsewhere, thoracic region",M49.84,M49,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylopathies in diseases classified elsewhere,"spondylopathy in diseases classified elsewhere, thoracic region",3
Degenerative,1,thoracic,FALSE,TRUE,FALSE,"Intervertebral disc disorders with myelopathy, thoracic region",M51.04,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","intervertebral disc disorders with myelopathy, thoracic region",3
Degenerative,1,thoracic,FALSE,TRUE,FALSE,"Intervertebral disc disorders with radiculopathy, thoracic region",M51.14,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","intervertebral disc disorders with radiculopathy, thoracic region",3
Degenerative,1,thoracic,FALSE,TRUE,FALSE,"Other intervertebral disc displacement, thoracic region",M51.24,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","other intervertebral disc displacement, thoracic region",3
Degenerative,1,thoracic,FALSE,TRUE,FALSE,"Other intervertebral disc degeneration, thoracic region",M51.34,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","other intervertebral disc degeneration, thoracic region",3
